name,category,specs,price,unit,recipe,,
樱花巴茜,新品系列,,16,杯,冰块:250;热水:60;翡翠茉莉绿茶:40;果糖:20;芭乐西柚:35;樱花珍珠:60;果茶昔(红):1,,
香柚薄荷蜜,新品系列,,16,杯,冰块:250;热水:150;果糖:20;柠檬香柚:30;金桔汁:10;薄荷糖浆:8;果茶昔(红):1,,
百香果益力多,新品系列,,17,杯,百香果:30;益力多:1;翡翠茉莉绿茶:250;果糖:50;700杯:1;500杯盖:1;吸管:1,,
牛油果益力多,新品系列,,18,杯,牛油果:0.5;热水:150;冰块:50;果糖:28;益力多:1;果茶昔(红):1,,
牛油蓝莓多,新品系列,,20,杯,牛油果:0.5;热水:80;冰块:180;果糖:20;酸奶:80;蓝莓果泥:45;翡翠茉莉绿茶:100;果茶昔:1,,蓝莓:7;葡萄肉粒:3
火龙果云朵冰,新品系列,,17,杯,芭乐肉:50;冰块:400;石莲多酚:60;果糖:50;火龙果:100;淡奶油:20;芝士奶盖:20;700杯:1;500杯盖:1;吸管:1,,
草莓鲜奶,新品系列,,18,杯,草莓:100;草莓茶酱:25;果糖:25;台湾四季春:50;冰块:100;雀巢全脂牛奶:130;淡奶油:20;果茶昔(红):1,,
芒果鲜奶,新品系列,,17,杯,芒果:150;芒果原浆:20;果糖:10;冰块:100;雀巢全脂牛奶:130;淡奶油:20;果茶昔(红):1,,
芒果可可,新品系列,,17,杯,芒果原浆:15;芒果:120;果糖:15;翡翠茉莉绿茶:30;冰块:120;巧克力粉:2;热水:50;雀巢全脂牛奶:80;淡奶油:20;果茶昔(红):1,,
脏脏茶,新品系列,,14,杯,黑糖珍珠:120;奶液:270;冰块:100;U型杯:1;U型杯盖:1;吸管:1,,
抹茶脏脏茶,新品系列,,15,杯,黑糖珍珠:120;奶液:260;抹茶粉:3;炼奶:5;冰块:100;U型杯:1;U型杯盖:1;吸管:1,,
四季春,冷泡茗茶,,8,杯,台湾四季春:450;果糖:45;冰块:150;700杯:1;500杯盖:1;吸管:1,,
白鹭红茶,冷泡茗茶,,8,杯,翡翠茉莉绿茶:450;果糖:45;冰块:150;700杯:1;500杯盖:1;吸管:1,,
翡翠茉莉,冷泡茗茶,,8,杯,白鹭红茶:450;果糖:45;冰块:150;700杯:1;500杯盖:1;吸管:1,,
四季春,芝士茶,,10,杯,台湾四季春:350;果糖:35;冰块:150;芝士奶盖:50;抹茶粉:1;700杯:1;500杯盖:1;吸管:1,,
白鹭红茶,芝士茶,,10,杯,翡翠茉莉绿茶:350;果糖:35;冰块:150;芝士奶盖:50;抹茶粉:1;700杯:1;500杯盖:1;吸管:1,,
翡翠茉莉,芝士茶,,10,杯,白鹭红茶:350;果糖:35;冰块:150;芝士奶盖:50;抹茶粉:1;700杯:1;500杯盖:1;吸管:1,,
超级水果绿茶,超级水果茶,,18,杯,菠萝:2;西瓜:350;奇异果:2;柠檬:0.2;西柚:1;桔子:0.5;果糖:25;水果茶果味酱:45;翡翠茉莉绿茶:380;黄金百香果:20;冰块:150;1000方杯:1;1000方杯套:1;吸管:1,,
超级水果红茶,超级水果茶,,18,杯,菠萝:2;西瓜:350;奇异果:2;柠檬:0.2;西柚:1;桔子:0.5;果糖:25;水果茶果味酱:45;白鹭红茶:380;黄金百香果:20;冰块:150;1000方杯:1;1000方杯套:1;吸管:1,,
