name,price,unit,quantity,datum,datumUnit,minQuantity
台湾红玉,1200,箱,1,250*25,g,250*4
四季春一号,1800,箱,1,100*150,g,100*10
翡翠茉莉,2400,箱,1,100*150,g,100*10
乌龙,1800,箱,1,100*150,g,100*10
水果茶果味酱,1144,件,1,1900*16,ml,1900*2
百味果原液,1664,件,0.5,950*40,ml,950*4
黄金砂糖糖浆,872,件,0.5,2500*16,g,2500*2
玫瑰花酱,1640,件,0.5,1250*12,g,1250*2
红番石榴水果饮料,1096,件,0.5,850*20,ml,850*2
冬瓜味饮料浓浆,702,件,1,2500*12,g,2500*2
凤梨果味多,1518,件,0.5,1300*24,g,1300*2
红西柚汁,1298,件,0.5,900*20,ml,900*2
金桔汁,1040,件,0.5,900*20,ml,900*2
甜橙茶酱,1248,件,0.5,1300*24,g,1300*2
水蜜桃汁,1282,件,0.5,1300*24,g,1300*2
甜蜜植脂末,660,件,2,600*30,g,600*4
抹茶粉,1400,件,0.5,500*20,g,500*2
红豆沙,740,件,0.5,950*30,ml,950*4
金砖粉,970,件,0.5,1000*20,g,1000*2
琥珀珍珠,238,件,2,1000*20,g,1000*2
果糖,456,箱,2,50000,g,10000
玫瑰盐,200,包,5,280,g,280
金典粉圆,260,箱,1,1000*20,g,1000*2
草莓果汁,1200,箱,0.5,1900*24,ml,1900*2
柚子茶,1200,箱,0.5,1000*24,g,1000*2
芒果原浆,1200,箱,0.5,1600*24,ml,1600*2
黑糖,680,箱,0.5,2000*8,ml,2000*1
草莓茶酱,872,箱,0.5,1300*24,g,1300*2
巧克力粉,2120,箱,0.5,1000*40,g,1000*1
柠檬香柚,1050,箱,0.5,1200*24,ml,1200*2
布丁烧风味固体饮料,1300,箱,0.5,1000*20,g,1000*1
樱花珍珠粒,155,箱,1,900*20,g,900*2
芭乐西柚,940,箱,0.5,1200*24,ml,1200*1
MY-3抹茶粉,2000,箱,0.5,1000*4,g,1000*1
芭乐肉,784,箱,0.5,1000*28,g,1000*1
石莲多酚,1276,箱,0.5,960*24,ml,960*1
蓝莓果泥,1200,箱,0.5,1360*24,g,1360*1
炸鸡裹粉,300,箱,1,5000*4,g,2500
浓香辣腌料,1200,箱,0.5,1000*20,g,1000
奥尔良腌料,1200,箱,0.5,1000*20,g,1000
黄面包糠,360,箱,0.5,1000*20,g,1000
500杯,680,箱,1,2000,个,500
700杯,1000,箱,2,2000,个,500
500杯盖,310,箱,3,2000,个,500
1000方杯,1496,箱,1,1000,个,300
1000方杯套,208,箱,1,1000,个,300
吸管,250,箱,3,4000,个,500
打包袋(单杯),250,箱,1,2000,个,300
打包袋(双杯),350,箱,1,2000,个,300
果茶昔,360,箱,1,200,个,100
果茶昔红,410,箱,1,200,个,100
U型杯,340,箱,1,1000,个,300
U型杯盖,84.15,箱,1,1000,个,300
16A中空杯,420,箱,1,1000,个,300
牛皮纸杯,200,箱,1,500,个,200
椰浆,11,瓶,1,400,ml,400*2
雀巢全脂牛奶,153,箱,1,1000*12,ml,1000*2
白砂糖,6.3,袋,1,400,g,1000
芝士,64,盒,1,1000,g,1000
西米粒,9.9,袋,1,500,g,1000
薄荷糖浆,88,瓶,1,700,ml,1000
益力多,22.5,盒,1,20,瓶,5
淡奶油,415,箱,0.5,1000*12,ml,1000
炼奶,9.9,瓶,1,357,g,500
酸奶,15.5,瓶,1,1000,g,2000
樱花糖浆,88,瓶,1,700,ml,1000
火龙果,7,kg,1,900,g,900*5
牛油果,8,个,1,1,个,5
木瓜,3,kg,1,1000,g,2
柠檬,4,kg,1,9,个,10
橙子,,,,,,
西柚,5,个,1,10,片,5
西瓜,3,kg,1,700,g,500
芒果,8,kg,1,800,g,1
鸡翅,3,个,1,1,个,3
薯条,25,袋,1,2000,g,1000
番茄酱,40,份,1,320*4,g,200
鸡爪,1,个,1,1,个,0
桔子,4,kg,1,100,个,20
奇异果,2.5,个,1,10,片,5
草莓,12,盒,1,274,g,200
菠萝,5,个,1,10,片,10
热水,3.22,吨,10000,1000*1000,g,0
冰块,6,袋,100000,10*1000,g,0
扑克,54.4,箱,1,100,包,10
冬瓜姜汁,48,瓶,1,1200,g,1000
芒果果泥,29,瓶,1,1360,g,1000
老盐,10,袋,1,500,g,100
淡奶,35,箱,1,410*5,g,500
