名称,价格,单位,数量,基准数量,基准单位
台湾红玉,1200,箱,1,250*25,g
四季春一号,1800,箱,1,100*150,g
翡翠茉莉,2400,箱,1,100*150,g
乌龙,1800,箱,1,100*150,g
水果茶果味酱,1144,件,1,1900*16,ml
百味果原液,1664,件,0.5,950*40,ml
黄金砂糖糖浆,872,件,0.5,2500*16,g
玫瑰花酱,1640,件,0.5,1250*12,g
红番石榴水果饮料,1096,件,0.5,850*20,ml
冬瓜味饮料浓浆,702,件,1,2500*12,g
凤梨果味多,1518,件,0.5,1300*24,g
红西柚汁,1298,件,0.5,900*20,ml
金桔汁,1040,件,0.5,900*20,ml
甜橙茶酱,1248,件,0.5,1300*24,g
水蜜桃汁,1282,件,0.5,1300*24,g
甜蜜植脂末,660,件,2,600*30,g
抹茶粉,1400,件,0.5,500*20,g
红豆沙,740,件,0.5,950*30,ml
金砖粉,970,件,0.5,1000*20,g
琥珀珍珠,238,件,2,1000*20,g
果糖,456,箱,2,50000,g
玫瑰盐,200,包,5,280,g
金典粉圆,260,箱,1,1000*20,g
草莓果汁,1200,箱,0.5,1900*24,ml
柚子茶,1200,箱,0.5,1000*24,g
芒果原浆,1200,箱,0.5,1600*24,ml
黑糖,680,箱,0.5,2000*8,ml
草莓茶酱,872,箱,0.5,1300*24,g
巧克力粉,2120,箱,0.5,1000*40,g
柠檬香柚,1050,箱,0.5,1200*24,ml
布丁烧风味固体饮料,1300,箱,0.5,1000*20,g
樱花珍珠粒,155,箱,1,900*20,g
芭乐西柚,940,箱,0.5,1200*24,ml
MY-3抹茶粉,2000,箱,0.5,1000*4,g
芭乐肉,784,箱,0.5,1000*28,g
石莲多酚,1276,箱,0.5,960*24,ml
蓝莓果泥,1200,箱,0.5,1360*24,g
炸鸡裹粉,300,箱,1,5000*4,g
浓香辣腌料,1200,箱,0.5,1000*20,g
奥尔良腌料,1200,箱,0.5,1000*20,g
黄面包糠,360,箱,0.5,1000*20,g
500杯,680,箱,1,2000,个
700杯,1000,箱,2,2000,个
500杯盖,310,箱,3,2000,个
1000方杯,1496,箱,1,1000,个
1000方杯套,208,箱,1,1000,个
吸管,250,箱,3,4000,个
打包袋(单杯),250,箱,1,2000,个
打包袋(双杯),350,箱,1,2000,个
果茶昔,360,箱,1,200,个
果茶昔(红),410,箱,1,200,个
U型杯,340,箱,1,1000,个
U型杯盖,84.15,箱,1,1000,个
16A中空杯,420,箱,1,1000,个
牛皮纸杯,200,箱,1,500,个
椰浆,11,瓶,1,400,ml
雀巢全脂牛奶,153,箱,1,1000*12,ml
白砂糖,6.3,袋,1,400,g
芝士,64,盒,1,1000,g
西米粒,9.9,袋,1,500,g
薄荷糖浆,88,瓶,1,700,ml
益力多,22.5,盒,1,20,瓶
淡奶油,415,箱,0.5,1000*12,ml
炼奶,9.9,瓶,1,357,g
酸奶,15.5,瓶,1,1000,g
樱花糖浆,88,瓶,1,700,ml
火龙果,7,kg,1,1000,g
牛油果,8,个,1,1,个
木瓜,3,kg,1,1000,g
柠檬,4,kg,1,9,个
橙子,,,,,
西柚,5,个,1,10,片
西瓜,3,kg,1,1000,g
芒果,8,kg,1,1000,G
百香果,,,,,
鸡翅,3,个,1,1,个
薯条,25,袋,1,2000,g
番茄酱,40,份,1,320*4,g
鸡爪,1,个,1,1,个
桔子,4,kg,1,100,个
奇异果,2.5,个,1,10,片
草莓,12,盒,1,274,g
菠萝,5,个,1,10,片
热水,3.22,吨,1,1000*1000,g
冰块,6,袋,1,10*1000,g
扑克,1,箱,1,58.4,包
